  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30 120 -82.5 195.29 13.18 28.1   .42 21.2 3.130E-05  27.17  17.4   1.35  13.8 7.860E-10  34.58  17.1   4.50  16.4
  30 125 -82.5 206.41 11.00 28.1   .59 21.7 2.040E-05  21.93  17.6   1.25  13.9 4.788E-10  29.35  17.2   3.49  16.4
  30 130 -82.5 215.59  7.86 27.9   .59 22.0 1.363E-05  17.32  18.0   1.18  13.9 3.018E-10  24.38  17.4   2.69  16.3
  30 135 -82.5 223.09  5.06 27.6   .49 22.3 9.288E-06  13.40  18.5   1.12  14.0 1.952E-10  20.43  17.6   2.13  16.3
  30 140 -82.5 228.81  3.09 27.1   .31 22.3 6.462E-06  13.40  18.5   1.12  14.0 1.297E-10  17.25  17.9   1.63  16.1
  30 145 -82.5 233.21  2.17 27.1   .19 22.1 4.574E-06  10.12  19.3   1.05  14.0 8.797E-11  14.62  18.2   1.33  15.9
  30 150 -82.5 236.82  2.78 15.9   .10 22.4 3.276E-06   7.50  20.5    .98  14.1 6.043E-11  12.26  18.5   1.13  15.7
  30 155 -82.5 239.51  3.85 16.0   .07 11.4 2.381E-06   7.50  20.5    .98  14.1 4.216E-11  10.33  18.8    .98  15.4
  30 160 -82.5 241.45  4.71 16.0   .08 13.7 1.757E-06   6.50  22.8    .88  14.1 2.989E-11   8.55  19.4    .85  15.1
  30 165 -82.5 243.09  5.47 16.1   .09 14.9 1.306E-06   8.78  24.9    .77  14.0 2.133E-11   6.94  20.0    .76  14.6
  30 170 -82.5 244.14  6.10 16.0   .13 14.9 9.905E-07   8.78  24.9    .77  14.0 1.552E-11   5.65  21.1    .67  14.1
  30 175 -82.5 245.08  6.54 16.0   .13 15.1 7.557E-07  13.20  26.0    .64  13.9 1.136E-11   5.18  22.7    .56  13.3
  30 180 -82.5 245.73  6.93 16.0   .14 15.1 5.862E-07  13.20  26.0    .64  13.9 8.456E-12   6.22  24.4    .62  11.9
  30 185 -82.5 246.29  7.19 16.0   .14 15.2 4.577E-07  18.84  26.6    .50  13.6 6.337E-12   8.05  25.4    .63  11.2
  30 190 -82.5 246.68  7.41 16.0   .13 15.2 3.630E-07  18.84  26.6    .50  13.6 4.830E-12  10.37  25.9    .97  22.3
  30 195 -82.5 247.05  7.57 16.0   .13 15.3 2.888E-07  25.40  26.9    .39  12.4 3.696E-12  13.01  26.3   1.10  22.2
  30 200 -82.5 247.28  7.68 16.0   .11 15.4 2.339E-07  25.40  26.9    .39  12.4 2.898E-12  15.52  26.6   1.41  21.9
  30 205 -82.5 247.51  7.77 16.0   .11 15.4 1.894E-07  25.40  26.9    .39  12.4 2.272E-12  18.65  26.8   1.34  21.9
  30 210 -82.5 247.66  7.83 16.0   .09 15.5 1.555E-07  32.61  27.1    .38  21.7 1.812E-12  21.92  26.9    .81  22.5
  30 215 -82.5 247.80  7.88 16.0   .08 15.6 1.282E-07  32.61  27.1    .38  21.7 1.453E-12  25.23  27.0    .56  11.9
  30 220 -82.5 247.92  7.92 16.0   .07 15.6 1.059E-07  39.99  27.2    .41  20.6 1.169E-12  28.79  27.1    .98  14.8
  30 225 -82.5 248.00  7.94 16.0   .05 15.7 8.856E-08  39.99  27.2    .41  20.6 9.527E-13  32.22  27.2   1.94  15.1
  30 230 -82.5 248.07  7.96 16.0   .05 15.8 7.405E-08  39.99  27.2    .41  20.6 7.767E-13  35.82  27.2   2.99  15.2
  30 235 -82.5 248.14  7.96 16.0   .04 15.9 6.218E-08  46.90  27.3    .42  19.4 6.368E-13  39.21  27.3   4.11  15.3
  30 240 -82.5 248.18  7.97 16.0   .03 16.0 5.256E-08  46.90  27.3    .42  19.4 5.268E-13  42.30  27.3   5.20  15.3
  30  80 -77.5 118.81  1.84 18.8  2.49 13.5 7.366E-03  12.94  14.8   3.03  15.0 3.215E-07  11.61  14.0   1.85  15.1
  30  85 -77.5 115.91  4.68 18.8  3.24 13.5 3.399E-03  14.13  14.9   5.16  15.1 1.516E-07  12.36  14.0   3.08  15.1
  30  90 -77.5 116.32 12.74 18.5  3.82 12.9 1.559E-03  14.96  15.3   6.67  15.0 6.932E-08  10.92  13.7   5.32  15.2
  30  95 -77.5 119.99 21.91 17.9  3.19 11.8 7.292E-04  22.86  16.5   9.60  14.9 3.165E-08  11.35  15.6   9.17  14.8
  30 100 -77.5 125.93 18.35 16.8  6.00 20.3 3.511E-04  31.43  16.9  10.24  14.8 1.455E-08  24.86  17.2  12.11  14.1
  30 105 -77.5 138.03  6.04 14.0  8.52 19.3 1.777E-04  47.11  17.0   7.56  14.4 6.619E-09  40.43  17.1  10.32  14.6
  30 110 -77.5 155.38  7.87 30.5  8.08 19.0 9.670E-05  47.47  16.9   5.15  14.1 3.144E-09  49.77  16.8  11.11  16.1
  30 115 -77.5 173.08 11.99 29.2  7.27 19.1 5.645E-05  43.27  16.8   3.47  13.6 1.622E-09  50.85  16.7  10.43  16.0
  30 120 -77.5 188.64 12.13 29.1  7.30 21.1 3.486E-05  37.17  16.8   2.94  12.9 9.055E-10  46.47  16.7   8.04  15.9
  30 125 -77.5 201.51  9.87 29.5  7.80 21.4 2.242E-05  31.03  16.8   3.15  12.5 5.366E-10  40.52  16.7   5.46  15.7
  30 130 -77.5 211.93  7.17 30.6  8.28 21.5 1.486E-05  25.17  16.9   3.57  12.2 3.323E-10  34.86  16.7   3.56  15.5
  30 135 -77.5 220.12  5.73 31.9  8.61 21.7 1.011E-05  25.17  16.9   3.57  12.2 2.131E-10  30.14  16.7   2.45  14.6
  30 140 -77.5 226.08  5.30 33.1  8.79 21.7 7.051E-06  19.85  17.0   4.01  12.1 1.413E-10  26.01  16.7   2.55  13.6
  30 145 -77.5 230.91  5.46 10.8  9.04 21.6 4.989E-06  14.72  17.1   4.34  12.0 9.533E-11  22.21  16.7   2.97  13.2
  30 150 -77.5 234.84  6.46 12.6  9.30 21.7 3.572E-06   9.58  17.6   4.47  11.9 6.527E-11  18.92  16.7   3.43  13.0
  30 155 -77.5 237.43  7.67 13.2  9.48 22.2 2.615E-06   9.58  17.6   4.47  11.9 4.576E-11  15.92  16.7   3.94  12.8
  30 160 -77.5 239.56  8.71 13.6  9.75 11.4 1.933E-06   5.27  18.8   4.35  11.9 3.242E-11  12.75  16.7   4.17  12.6
  30 165 -77.5 241.13  9.56 13.7  9.90 12.0 1.447E-06   5.27  18.8   4.35  11.9 2.326E-11   9.83  16.9   4.60  12.3
  30 170 -77.5 242.25 10.22 13.8 10.12 12.0 1.100E-06   6.10  27.4   3.96  11.9 1.696E-11   6.90  17.3   4.65  12.1
  30 175 -77.5 243.19 10.70 13.8 10.23 18.1 8.413E-07   6.10  27.4   3.96  11.9 1.245E-11   4.81  17.8   4.80  11.7
  30 180 -77.5 243.79 11.07 13.9 10.35 18.1 6.555E-07  13.40  27.4   3.35  11.8 9.317E-12   4.61  29.5   4.84  23.0
  30 185 -77.5 244.35 11.34 13.9 10.44 18.1 5.124E-07  13.40  27.4   3.35  11.8 6.997E-12   6.89  28.3   4.83  22.6
  30 190 -77.5 244.71 11.52 13.9 10.51 18.1 4.075E-07  21.85  27.5   2.69  11.7 5.361E-12  10.28  28.0   4.92  22.2
  30 195 -77.5 245.03 11.68 13.9 10.56 18.2 3.252E-07  21.85  27.5   2.69  11.7 4.126E-12  14.44  27.9   4.63  22.2
  30 200 -77.5 245.27 11.77 13.9 10.60 18.2 2.624E-07  31.06  27.5   2.29  11.3 3.218E-12  18.23  27.8   4.44  22.1
  30 205 -77.5 245.46 11.85 14.0 10.64 18.2 2.133E-07  31.06  27.5   2.29  11.3 2.532E-12  22.76  27.7   3.92  22.3
  30 210 -77.5 245.63 11.89 14.0 10.66 18.3 1.739E-07  40.42  27.5   2.50  22.1 1.999E-12  27.46  27.7   3.03  22.7
  30 215 -77.5 245.73 11.92 14.0 10.69 18.3 1.436E-07  40.42  27.5   2.50  22.1 1.604E-12  31.74  27.7   2.26  11.6
