  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30 120 -82.5 176.06 17.01 27.8   .60 22.0 3.940E-05  16.97  18.3   1.49  17.2 1.136E-09  25.69  17.5   4.93  17.3
  30 125 -82.5 187.27 15.10 27.7   .67 11.2 2.458E-05  12.68  19.4   1.41  17.2 6.611E-10  19.49  18.2   3.75  17.7
  30 130 -82.5 197.06 12.93 27.5   .55 11.9 1.576E-05  10.16  20.9   1.35  17.1 3.988E-10  14.83  19.1   2.80  18.0
  30 135 -82.5 204.88 11.19 27.3   .41 12.2 1.036E-05  10.16  20.9   1.35  17.1 2.490E-10  11.92  20.3   2.14  18.2
  30 140 -82.5 210.94  9.98 27.1   .33 12.2 6.947E-06   9.55  22.5   1.30  17.1 1.599E-10  10.35  21.5   1.72  18.3
  30 145 -82.5 215.74  9.17 26.9   .21 12.6 4.731E-06  10.41  23.9   1.26  17.0 1.047E-10   9.71  22.5   1.37  18.3
  30 150 -82.5 219.52  8.61 26.8   .16 12.9 3.264E-06  12.29  24.8   1.22  17.0 6.963E-11   9.76  23.3   1.13  18.3
  30 155 -82.5 222.38  8.27 26.8   .13 13.0 2.281E-06  12.29  24.8   1.22  17.0 4.705E-11  10.27  23.9    .95  18.1
  30 160 -82.5 224.35  8.10 26.8   .15 13.5 1.620E-06  14.80  25.5   1.19  16.9 3.234E-11  10.89  24.5    .87  18.1
  30 165 -82.5 225.94  7.99 26.8   .08 13.6 1.163E-06  17.71  26.0   1.16  16.9 2.245E-11  11.72  24.9    .75  17.7
  30 170 -82.5 227.15  7.89 26.8   .07 13.4 8.435E-07  17.71  26.0   1.16  16.9 1.575E-11  12.82  25.3    .76  16.7
  30 175 -82.5 227.98  7.88 26.8   .08 14.0 6.233E-07  20.93  26.4   1.14  16.8 1.124E-11  13.69  25.5    .71  16.9
  30 180 -82.5 228.69  7.86 26.8   .04 13.7 4.640E-07  24.47  26.6   1.11  16.8 8.077E-12  14.86  25.7    .84  16.2
  30 185 -82.5 229.18  7.87 26.8   .05 13.9 3.517E-07  24.47  26.6   1.11  16.8 5.904E-12  15.77  25.9    .82  16.2
  30 190 -82.5 229.58  7.88 26.8   .02 14.0 2.691E-07  28.26  26.8   1.09  16.7 4.357E-12  16.95  26.0    .97  16.1
  30 195 -82.5 229.88  7.91 26.8   .02 14.1 2.089E-07  28.26  26.8   1.09  16.7 3.262E-12  17.74  26.1    .90  16.2
  30 200 -82.5 230.12  7.92 26.8   .01 13.8 1.639E-07  32.35  27.0   1.08  16.6 2.469E-12  18.97  26.2   1.12  16.1
  30 205 -82.5 230.30  7.95 26.8   .01 14.3 1.303E-07  32.35  27.0   1.08  16.6 1.898E-12  19.64  26.3   1.01  16.2
  30 210 -82.5 230.45  7.97 26.8   .01 11.0 1.042E-07  36.70  27.1   1.10  16.5 1.468E-12  20.88  26.4   1.19  16.2
  30 215 -82.5 230.55  8.00 26.8   .01 20.6 8.482E-08  36.70  27.1   1.10  16.5 1.159E-12  21.55  26.4   1.24  16.2
  30 220 -82.5 230.65  8.02 26.8   .01 19.7 6.902E-08  36.70  27.1   1.10  16.5 9.154E-13  22.33  26.4   1.11  16.5
  30 225 -82.5 230.72  8.04 26.8   .01 20.5 5.710E-08  41.16  27.2   1.14  16.4 7.390E-13  23.21  26.4   1.48  16.2
  30 230 -82.5 230.77  8.07 26.8   .02 20.4 4.742E-08  41.16  27.2   1.14  16.4 5.997E-13  23.69  26.4   1.49  16.3
  30 235 -82.5 230.82  8.09 26.8   .02 20.5 3.947E-08  45.24  27.2   1.25  16.2 4.881E-13  24.33  26.4   1.55  16.4
  30 240 -82.5 230.84  8.09 26.8   .02 20.5 3.338E-08  45.24  27.2   1.25  16.2 4.060E-13  24.33  26.4   1.55  16.4
  30  80 -77.5 125.13  6.75 17.1  1.97 13.1 8.665E-03   9.01  14.8   4.11  17.5 3.600E-07   5.18  14.0   2.83  17.7
  30  85 -77.5 122.28  9.50 17.1  2.49 13.1 4.148E-03  11.45  15.1   4.90  17.5 1.761E-07   7.63  14.0   4.12  17.7
  30  90 -77.5 124.40 13.28 17.5  2.93 12.9 1.987E-03  17.87  15.9   6.36  17.2 8.289E-08  10.57  15.0   5.51  17.5
  30  95 -77.5 129.30 16.48 17.6  2.20 12.9 9.770E-04  22.40  16.2   6.93  17.1 3.916E-08  15.84  15.9   6.36  17.4
  30 100 -77.5 134.31 11.74 17.9  3.69 19.5 4.956E-04  34.63  16.8   6.74  16.9 1.901E-08  25.90  16.5   7.06  14.5
  30 105 -77.5 139.84  4.73 22.6  5.86 18.8 2.589E-04  39.16  16.9   5.42  16.8 9.490E-09  36.10  16.6   7.85  16.2
  30 110 -77.5 148.07 13.18 26.7  5.11 18.7 1.400E-04  39.50  17.1   3.64  17.0 4.839E-09  41.87  16.8   7.95  16.5
  30 115 -77.5 160.14 19.23 27.7  3.09 19.8 7.937E-05  35.63  17.4   2.58  17.5 2.528E-09  41.76  17.2   9.04  17.2
  30 120 -77.5 173.84 20.97 28.4  3.53 22.1 4.732E-05  29.72  17.9   2.37  18.1 1.380E-09  37.12  17.7   9.04  17.6
  30 125 -77.5 186.59 20.16 28.7  4.62 22.8 2.948E-05  23.46  18.5   2.35  18.5 7.941E-10  30.65  18.1   7.30  18.0
  30 130 -77.5 197.29 18.35 29.0  5.25 11.1 1.897E-05  18.17  19.2   2.56  18.8 4.783E-10  24.67  18.6   5.45  18.3
  30 135 -77.5 205.89 16.46 29.3  5.66 11.3 1.252E-05  14.09  20.3   3.00  19.1 2.985E-10  19.88  19.2   4.20  18.8
  30 140 -77.5 212.73 14.99 29.5  6.01 11.2 8.426E-06  11.67  21.7   3.60  19.2 1.914E-10  16.36  19.9   3.70  19.2
  30 145 -77.5 218.14 14.07 29.7  6.23 11.3 5.758E-06  11.08  23.3   4.21  19.3 1.254E-10  13.97  20.7   3.75  19.5
  30 150 -77.5 222.04 13.47 29.9  6.45 11.5 4.008E-06  11.08  23.3   4.21  19.3 8.411E-11  12.30  21.5   4.07  19.7
  30 155 -77.5 225.00 13.05 30.0  6.63 11.5 2.829E-06  12.37  24.8   4.77  19.4 5.729E-11  11.35  22.4   4.38  19.7
  30 160 -77.5 227.33 12.89 30.2  6.85 11.7 2.018E-06  15.16  25.9   5.20  19.4 3.946E-11  11.08  23.2   4.83  19.8
  30 165 -77.5 228.95 12.79 30.3  6.98 11.8 1.459E-06  15.16  25.9   5.20  19.4 2.757E-11  11.19  24.0   5.19  19.6
  30 170 -77.5 230.12 12.72 30.3  7.06 11.6 1.070E-06  18.90  26.6   5.45  19.5 1.954E-11  11.72  24.7   5.53  19.2
  30 175 -77.5 231.08 12.72 30.4  7.17 11.9 7.905E-07  23.24  27.0   5.46  19.5 1.394E-11  12.61  25.2   5.79  19.3
  30 180 -77.5 231.68 12.72 30.4  7.22 11.8 5.957E-07  23.24  27.0   5.46  19.5 1.013E-11  13.66  25.7   5.99  19.0
  30 185 -77.5 232.20 12.73 30.5  7.28 11.9 4.522E-07  28.05  27.3   5.25  19.5 7.417E-12  14.79  26.0   6.08  19.0
  30 190 -77.5 232.55 12.75 30.5  7.31 11.9 3.486E-07  28.05  27.3   5.25  19.5 5.514E-12  16.13  26.3   6.06  18.9
  30 195 -77.5 232.85 12.77 30.5  7.35 11.9 2.712E-07  33.19  27.4   4.89  19.6 4.138E-12  17.30  26.4   5.87  18.9
  30 200 -77.5 233.05 12.79 30.5  7.37 11.8 2.140E-07  33.19  27.4   4.89  19.6 3.153E-12  18.63  26.5   5.78  18.9
  30 205 -77.5 233.23 12.81 30.5  7.39 12.0 1.700E-07  38.63  27.5   4.57  13.7 2.420E-12  19.92  26.6   5.31  18.9
  30 210 -77.5 233.35 12.82 30.5  7.41 22.4 1.372E-07  38.63  27.5   4.57  13.7 1.894E-12  21.01  26.7   5.08  18.9
  30 215 -77.5 233.46 12.84 30.5  7.43 21.2 1.107E-07  38.63  27.5   4.57  13.7 1.482E-12  22.57  26.7   4.49  18.9
  30 220 -77.5 233.53 12.85 30.5  7.44 20.7 9.106E-08  44.15  27.5   4.45  13.8 1.189E-12  23.68  26.7   3.69  18.9
  30 225 -77.5 233.60 12.86 30.5  7.45 21.1 7.498E-08  44.15  27.5   4.45  13.8 9.558E-13  24.89  26.7   3.33  18.8
  30 230 -77.5 233.65 12.87 30.5  7.46 21.1 6.216E-08  49.21  27.5   4.61  13.8 7.743E-13  26.29  26.6   2.58  18.8
  30 235 -77.5 233.68 12.88 30.5  7.47 21.1 5.211E-08  49.21  27.5   4.61  13.8 6.360E-13  27.35  26.6   1.95  18.6
  30 240 -77.5 233.72 12.89 30.5  7.48 21.3 4.369E-08  49.21  27.5   4.61  13.8 5.224E-13  28.64  26.6   1.94  18.1
  30  80 -72.5 126.70  7.20 16.5  4.04 15.8 1.046E-02  13.09  15.7   6.94  17.3 4.300E-07   7.58  15.2   3.89  17.7
  30  85 -72.5 123.92  7.50 16.5  4.80 15.8 5.041E-03  15.90  15.6   8.50  17.2 2.113E-07  11.32  15.2   6.39  17.7
  30  90 -72.5 125.50  9.46 18.3  5.55 14.7 2.426E-03  18.54  15.7  10.04  17.0 1.001E-07  14.68  15.2   9.30  17.3
  30  95 -72.5 129.27 12.28 18.4  4.68 13.0 1.198E-03  24.27  16.3  12.75  16.5 4.796E-08  17.73  15.8  12.32  16.6
  30 100 -72.5 131.89  9.38 18.3  6.84 22.5 6.024E-04  28.58  16.7  13.09  16.1 2.363E-08  24.59  16.5  14.23  16.0
  30 105 -72.5 133.59  3.99 22.1 10.73 21.4 3.072E-04  35.76  17.2   9.06  15.5 1.191E-08  32.53  16.6  13.18  15.7
  30 110 -72.5 138.58  9.91 26.1 11.27 21.1 1.595E-04  35.33  17.5   6.02  14.9 5.978E-09  36.62  16.8   9.41  15.9
  30 115 -72.5 150.04 13.60 27.6 10.84 21.5 8.649E-05  32.50  17.9   5.86  20.7 2.981E-09  37.11  17.4   6.95  16.1
  30 120 -72.5 165.11 15.44 28.8 12.58 22.1 4.978E-05  28.36  18.4   7.85  20.9 1.542E-09  35.05  18.0   7.83  20.6
  30 125 -72.5 179.65 15.74 29.7 14.41 22.1 3.031E-05  23.76  18.9  10.16  21.1 8.513E-10  31.11  18.5  10.33  20.5
  30 130 -72.5 191.76 15.15 30.4 15.63 22.1 1.925E-05  19.43  19.5  12.53  21.4 4.987E-10  26.98  19.0  12.10  20.6
  30 135 -72.5 201.31 14.51 31.1 16.57 22.0 1.261E-05  15.55  20.1  14.89  21.6 3.058E-10  23.36  19.5  13.66  20.8
  30 140 -72.5 208.71 14.34 31.6 17.40 21.9 8.452E-06  12.33  21.1  17.13  21.7 1.939E-10  20.52  19.9  15.27  21.1
  30 145 -72.5 214.40 14.52 32.0 18.12 21.9 5.766E-06  10.10  22.4  19.02  21.8 1.262E-10  18.32  20.4  17.02  21.4
  30 150 -72.5 218.36 14.70 32.3 18.68 21.8 4.016E-06  10.10  22.4  19.02  21.8 8.429E-11  16.29  21.0  18.77  21.6
  30 155 -72.5 221.29 14.97 32.5 19.18 21.8 2.839E-06   9.62  24.2  20.44  21.9 5.731E-11  14.61  21.5  20.23  21.7
  30 160 -72.5 223.57 15.31 32.7 19.64 21.8 2.030E-06  11.58  26.0  21.27  21.9 3.946E-11  13.43  22.1  21.48  21.8
  30 165 -72.5 225.09 15.49 32.8 19.97 21.7 1.474E-06  11.58  26.0  21.27  21.9 2.762E-11  12.57  22.8  22.47  21.8
  30 170 -72.5 226.18 15.70 32.9 20.23 21.7 1.086E-06  15.54  27.1  21.35  21.9 1.963E-11  12.10  23.4  23.11  21.8
  30 175 -72.5 227.07 15.85 32.9 20.44 21.7 8.059E-07  20.62  27.6  20.70  22.0 1.404E-11  12.14  24.1  23.52  21.8
  30 180 -72.5 227.59 15.97 32.9 20.60 21.7 6.112E-07  20.62  27.6  20.70  22.0 1.027E-11  12.48  24.6  23.48  21.7
  30 185 -72.5 228.06 16.06 33.0 20.73 21.6 4.656E-07  26.38  27.8  19.49  22.0 7.555E-12  13.24  25.2  23.18  21.7
  30 190 -72.5 228.36 16.13 33.0 20.83 21.6 3.609E-07  26.38  27.8  19.49  22.0 5.666E-12  14.28  25.6  22.46  21.7
  30 195 -72.5 228.63 16.17 33.0 20.91 21.6 2.813E-07  32.43  27.8  18.01  22.1 4.274E-12  15.64  25.9  21.51  21.6
  30 200 -72.5 228.80 16.21 33.0 20.97 21.6 2.229E-07  32.43  27.8  18.01  22.1 3.284E-12  16.94  26.1  20.45  21.5
  30 205 -72.5 228.97 16.23 33.0 21.02 21.6 1.769E-07  38.40  27.8  16.76  22.2 2.529E-12  18.63  26.3  19.25  21.5
  30 210 -72.5 229.06 16.25 33.0 21.06 21.6 1.431E-07  38.40  27.8  16.76  22.2 1.988E-12  19.96  26.4  18.00  21.4
  30 215 -72.5 229.16 16.26 33.0 21.09 21.6 1.157E-07  38.40  27.8  16.76  22.2 1.563E-12  21.75  26.4  16.70  21.3
  30 220 -72.5 229.22 16.27 33.0 21.12 21.6 9.489E-08  43.80  27.7  16.24  22.3 1.252E-12  23.45  26.4  15.27  21.2
  30 225 -72.5 229.28 16.28 33.0 21.14 21.6 7.818E-08  43.80  27.7  16.24  22.3 1.010E-12  24.91  26.3  14.08  21.1
  30 230 -72.5 229.33 16.28 33.0 21.16 21.6 6.459E-08  47.74  27.7  16.70  22.3 8.178E-13  26.79  26.2  13.01  21.0
  30 235 -72.5 229.36 16.28 33.0 21.17 21.6 5.414E-08  47.74  27.7  16.70  22.3 6.738E-13  28.13  26.1  12.05  20.6
  30 240 -72.5 229.39 16.28 33.0 21.18 21.6 4.539E-08  47.74  27.7  16.70  22.3 5.552E-13  29.21  26.0  11.67  20.2
  30  80 -67.5 127.94  7.77 14.7  4.38 15.1 1.264E-02  15.05  16.2   7.57  16.3 5.162E-07  10.89  15.9   5.15  16.7
  30  85 -67.5 123.93  5.33 14.7  4.99 15.1 6.121E-03  20.51  15.7  10.79  16.2 2.572E-07  15.93  15.9   7.78  16.7
  30  90 -67.5 124.82  3.87 21.1  6.15 13.8 2.937E-03  21.97  15.6  12.26  16.1 1.221E-07  20.07  15.4  11.23  16.4
