Kp,Kd,MaxDeviation_mrad
1,10,5.841127647565059
1,20,1.5669762244288066
1,30,0.5413146634327681
1,40,0.49342231322668795
1,50,1.237176642041149
1,60,0.3729946264035
1,70,0.22105167954666882
1,80,0.46762025436741794
1,90,0.19622132047114604
1,100,0.14317557181753315
1,110,0.12059620638282809
1,120,0.11105294151692036
1,130,0.09754519399951533
1,140,0.09886897426614194
1,150,0.1553376850931265
1,160,0.16928638161450849
1,170,0.18275777225096324
1,180,0.22104350181373356
1,190,0.2654634420453661
1,200,0.30952220749047576
1,210,0.35952512388204294
1,220,0.3910367750171728
1,230,0.44735646136806473
1,240,0.4920799676852994
1,250,0.5037032011964149
1,260,0.5555306858655573
1,270,0.5781417228550856
1,280,0.5909739293968874
1,290,0.620750468896647
1,300,0.6489037433309308
1,310,0.6845605890677398
1,320,0.7139938658131673
1,330,0.7274871843160335
1,340,0.7537261366524772
1,350,0.7807343759953511
1,360,0.8025200130777899
1,370,0.830260059624055
1,380,0.8483385868639504
1,390,0.8548720627877815
1,400,0.8746043924482416
1,410,0.8793319816610135
1,420,0.8957627223057374
1,430,0.9083398646619889
1,440,0.9100075485491965
1,450,0.9178821047524099
1,460,0.9263144010078772
1,470,0.9370620649873374
1,480,0.945738806885088
1,490,0.948422918300662
1,500,0.9583866782484352
1,510,0.965734016711739
1,520,0.9770317588010391
1,530,0.9768353054622203
1,540,0.9834633692981098
1,550,0.9908792028641145
1,560,0.9951862649740795
1,570,1.001909702731063
1,580,0.9968765463757023
1,590,1.0075834106844095
1,600,1.004868197820974
1,610,1.0038121817367296
1,620,1.0017764539423935
1,630,1.003808113444915
1,640,0.9982963735891692
1,650,1.0021129697884712
1,660,1.0020758019493314
1,670,1.0023519263772096
1,680,1.0006102196360445
1,690,1.0008953506316365
1,700,1.003047537223578
1,710,1.0031666606060696
1,720,0.9992523921183993
1,730,1.0068479912651584
1,740,0.999614021203854
1,750,0.9985906175553616
1,760,1.0009750359329939
1,770,0.9947499244669089
1,780,0.9892935622145549
1,790,0.9874510151874905
1,800,0.9839140976974914
1,810,0.9817950326898028
1,820,0.9833898518839534
1,830,0.9808870634064881
1,840,0.9783335979021146
1,850,0.9728263832092798
1,860,0.9708458140955667
1,870,0.9690743797873269
1,880,0.9702802027180546
1,890,0.9620318691939689
1,900,0.9606702783039323
1,910,0.9601310795606111
1,920,0.9574014679829546
1,930,0.9529431526881238
1,940,0.9499446694281044
1,950,0.9452730746210003
1,960,0.9421530549351687
1,970,0.9404562587910226
1,980,0.9380076841939422
1,990,0.9325431579555454
2,10,4.520322846821023
2,20,4.410618782876075
2,30,0.9755544165137575
2,40,0.564476912336076
2,50,1.4156184684870343
2,60,0.6159138006681664
2,70,1.022067774014701
2,80,0.4051899729446973
2,90,0.2599731242822756
2,100,0.2153452706170622
2,110,0.6607033660932515
2,120,0.1701976268888572
2,130,0.121503386634636
2,140,0.10101626243086415
2,150,0.0951764775596331
2,160,0.07889999659971281
2,170,0.07482326015928464
2,180,0.06606284458454681
