Kp,Kd,MaxDevRoll_mrad,MaxDevPitch_mrad,MaxDevYaw_mrad,TotalTorqueX_Nm_s,TotalTorqueY_Nm_s,TotalTorqueZ_Nm_s
0,0,1685.223885681007,900.1331704002969,1994.984142608093,0.0,0.0,0.0
0,100,0.6751366979368937,0.00016382177392415542,0.1849158764465459,0.21779075815162843,0.0,0.0008713742748549712
0,200,0.3372722807001203,0.0002475079190489282,0.13668647688546912,0.7192930586117194,0.0,0.0007921584316863374
0,300,0.2241585259427401,0.00021498351898685542,0.09060522287087745,1.3130290058011556,0.0,0.0006601320264052812
0,400,0.16956591872821186,0.0001833241620730064,0.037498625388709454,1.9335267053410656,0.0,0.0021916383276655276
0,500,0.13568504887361338,0.0002190790864275982,0.05337062023993283,2.549007401480283,0.0,0.001333466693338665
0,600,0.11283007686641348,0.00018665000744988447,0.018747584947062242,3.135627125425082,0.0,0.0020068013602720473
0,700,0.09657484214805112,0.00011468869942632409,0.029983536427776042,3.7194874974994914,0.0,0.002363272654530902
0,800,0.08484885822831108,0.00016520591294977294,0.031638601879060896,4.32705981196238,0.0,0.001333466693338665
0,900,0.0754230086198414,0.00014579812113169055,0.01870667221285155,4.923898379675929,0.0,0.0016767353470694085
10,0,0.9275643637405729,0.0008824549997399345,0.007343632579853642,20.18927985597124,0.004554910982196454,0.11202440488098032
10,100,0.0048534194111188025,2.8096097448582213e-05,0.002593565790325188,0.09363312662532894,0.0,0.0049245849169834155
10,200,0.003435350825867865,0.0001441018895320667,0.0004753010112961436,0.5675947189437841,0.0,0.0003432686537307462
10,300,0.0030843182937287583,0.0001686906365705454,0.00046288599081032903,1.1858215643128605,0.0,0.00023764752950590124
10,400,0.002724651777264115,0.0001808632159594481,0.0004575032388881067,1.8375039007801572,0.0,0.00046209241848369685
10,500,0.002471730537216392,0.00018434605042472185,0.0004491249027270174,2.469910382076415,0.0,0.0009109821964392881
10,600,0.002227003760332004,0.00018636915921632635,0.0004293660612197738,3.0756211242248384,0.0,0.0017691538307661472
10,700,0.002111378689567545,0.00012944934812963993,0.0003415770556607092,3.6783744748949796,0.0,0.0025349069813962767
10,800,0.00199952997877014,0.00011215743977999182,0.00033531301781581106,4.307585917183434,0.0,0.0022972594518903735
10,900,0.0018775211812925403,0.00011087572993062622,0.0003900692289514722,4.859416683336655,0.0,0.0021520304060812104
20,0,1.3247707352756346,0.0006354796528995621,0.00523219908235692,58.00941868373691,0.015922384476894997,0.2015383076615346
20,100,0.0067299729110610485,0.00022942618738142073,0.001620865860804382,0.1645445089017794,0.0,0.007749949989998042
20,200,0.0031959026072613528,0.00014703365991408646,0.0002400582617120107,0.46424444888977695,0.0,0.0005149029805961193
20,300,0.0026229344978397186,0.0001860795677544047,0.00023369490326972383,1.1483656731346241,0.0,0.00035647129425885185
20,400,0.0022517896809233786,0.00018163890835865004,0.00022810864330241422,1.758327665533103,0.0,0.0011618323664732933
20,500,0.0019517432248811035,0.00018726461270546224,0.0002302609832677332,2.4402572514502845,0.0,0.0012674534906981375
20,600,0.0017623053352335083,0.0001716158539721846,0.00021910761779547156,3.0744064812962524,0.0,0.0016767353470694085
20,700,0.0015984420466803606,0.00012548534922274257,0.0001741058118267867,3.6683404680936116,0.0,0.002429285857171431
20,800,0.001496774300427166,0.00010342352396719434,0.0001713169551360813,4.260043208641733,0.0,0.0021520304060812104
20,900,0.0013807414309922087,0.00012592228504360037,0.0002123618179330184,4.87776835367071,0.0,0.0017559511902380416
30,0,1.5922917227259195,0.00026420270060611983,0.005397137231102977,103.67075095019013,0.006099619923984825,0.29183116623324906
30,100,0.00876714684484665,0.0002407597579079379,0.0002824987245404553,0.23579915983195857,0.0027857571514302857,0.011275055011002046
30,200,0.003205121347065461,9.789797683623647e-05,0.0001958836090257873,0.33188797759551475,0.0,0.004356871374274868
30,300,0.0024552445815710085,0.00016652481793499874,0.00015568846863396602,1.065994398879772,6.60132026405281e-05,0.00084496899379876
30,400,0.002051521433067892,0.00016629130961121064,0.00015254246336474081,1.744082016403278,5.2810562112422483e-05,0.0007789557911582318
30,500,0.0017858506952204522,0.0001659668411591042,0.00014894268233439504,2.3642628525705094,2.6405281056211242e-05,0.002429285857171431
30,600,0.001588794153677399,0.0001656361563462383,0.00014920554646075094,2.9964448889777886,3.9607921584316864e-05,0.0021916383276655276
30,700,0.0014293310290691445,0.00012476395205851532,0.00012047837187797252,3.618738147629516,0.0,0.002468893778755748
30,800,0.0013129189386360907,0.00011358581630815934,0.0001167123606259467,4.186306461292249,0.0,0.002323664732946585
30,900,0.0012213092109248371,9.756454488751842e-05,0.0001134054639208585,4.859733546709325,0.0,0.002429285857171431
40,0,1.9299034046008963,0.00033207847494054477,0.007486555933951171,161.87465773154574,0.008674134826965387,0.4233426685337071
40,100,0.00785470049458374,6.538098773489764e-05,0.0034919942760009474,0.2464272854570847,0.0,0.0238307661532309
40,200,0.0042527335500461795,0.00013314721059032308,0.0008558202276717836,0.25553710742147767,0.00042248449689938,0.006495699139827999
40,300,0.002383810374042867,0.00012920540282124193,0.00011791197711935479,0.9900396079215789,0.00025085017003400684,0.000976995399079816
40,400,0.0015738964238097457,0.00012493257983692274,0.000115438597011626,1.695958391678331,0.00013202640528105623,0.0007657531506301262
40,500,0.0017556266796506556,0.0001243205236534095,0.00011358554816144152,2.3494098819763845,3.9607921584316864e-05,0.0009637927585517106
40,600,0.0015280857513238647,0.00012426755002792333,0.00011118628685622057,2.9817899579915905,3.9607921584316864e-05,0.0018351670334066747
40,700,0.0013776829247694217,0.0001243059521982559,0.00010987711605995855,3.661065813162616,3.9607921584316864e-05,0.002218043608721739
40,800,0.0012328468911983201,0.00012419500450278065,0.00011043875097550208,4.244160432086413,1.3202640528105621e-05,0.002178435687137422
40,900,0.0011280004283902778,0.00010085363388867563,8.786160759849042e-05,4.792373674734938,0.0,0.002125625125024999
50,0,2.11545225998568,0.00031082697571349627,0.004858419566969687,224.52850130026025,0.019223044608921647,0.4854214842968592
50,100,0.007664932568808499,0.0001689538295934767,0.00024654221490287017,0.3536195239047761,0.0038815763152630616,0.009967993598719664
50,200,0.005496348396745125,0.00013730719272686542,0.00013800800886345975,0.44195839167833306,0.002468893778755748,0.008291258251650346
50,300,0.0023438877315011073,0.00010418311990889606,9.568425630876864e-05,0.9046053210642078,0.0004752950590118025,0.00158431686337267
50,400,0.0020393287673344386,0.00010208263301336729,9.277306491993832e-05,1.6446397279455829,0.00026405281056211246,0.0010034006801360271
50,500,0.0017518812116298214,9.954422530711327e-05,9.227115969998857e-05,2.3123896779355757,0.0001716343268653731,0.0014654930986197203
50,600,0.0014756468535753965,9.951470403279927e-05,9.060977322967118e-05,3.013093418683727,6.60132026405281e-05,0.0018087617523504637
50,700,0.0012983537683453068,9.942239298510458e-05,9.088562959991789e-05,3.5944716943388544,7.921584316863373e-05,0.0018219643928785692
50,800,0.0011884029892594925,9.9493763450198e-05,8.938294195317897e-05,4.155517903580697,2.6405281056211242e-05,0.002178435687137422
50,900,0.0010738524392597544,0.00010008799211647101,7.272649602366223e-05,4.780874174834961,1.3202640528105621e-05,0.002614122824564911
60,0,2.2390430201213434,0.00018909239951625523,0.004771140703177727,291.9848449689942,0.014113622724544592,0.5666045209041819
60,100,0.0076543345791856895,0.00015116091578448732,0.00016084399520903167,0.5000104020804147,0.0012410482096419265,0.009268253650730106
60,200,0.004807867684436469,0.0001175365107464188,0.00011986158028656424,0.3861376275255003,0.0010694138827765547,0.007961192238447724
60,300,0.0022823416944243546,9.375427989510854e-05,9.447083038938004e-05,0.8088333666733297,0.0008713742748549712,0.0022576515303060563
60,400,0.002015125146673332,8.34290849738295e-05,7.83256864726693e-05,1.5809237847569508,0.0005413082616523306,0.0007789557911582318
60,500,0.001733978555452543,8.325104783324377e-05,7.662013718411764e-05,2.254205641128221,9.241848369673935e-05,0.0011090218043608713
60,600,0.001453035211205339,8.301770471064174e-05,7.64004938457447e-05,2.9332834566913304,0.00013202640528105623,0.0020992198439687875
60,700,0.001300316049035219,8.291879538546709e-05,7.452940046129588e-05,3.5625213042608492,7.921584316863373e-05,0.00196719343868773
60,800,0.0011439584152634146,8.32325639521514e-05,7.494426193501409e-05,4.184128025605123,3.9607921584316864e-05,0.001980396079215836
60,900,0.0010541328602813025,8.289344854972569e-05,6.95239791163519e-05,4.761598319663926,1.3202640528105621e-05,0.002231246249249845
70,0,2.3523197855762215,0.00015565560307351234,0.004644195566345574,358.56306781356284,0.00987557511502293,0.6413314662932582
70,100,0.007622561814745507,8.758664193919685e-05,0.00014847123869057851,0.6603168633726685,0.0001188237647529506,0.011512702540507933
70,200,0.004930970741322153,8.985699206931486e-05,0.00014089913165302276,0.42067573514702444,0.0011750350070013989,0.009004200840168008
70,300,0.0027499568766347787,7.490440001589604e-05,8.367579612733693e-05,0.6662316463292608,0.00044888977795559123,0.00286497299459892
70,400,0.0019516391556749742,7.18482633388362e-05,6.759781719513876e-05,1.679507901580315,0.0003432686537307462,0.0018351670334066747
70,500,0.0017092597365331165,7.137192481465604e-05,6.657240987364318e-05,2.2371214242848403,0.00026405281056211246,0.001254250850170032
70,600,0.0014144608211631468,7.126085943554017e-05,6.499766560835988e-05,2.9133078615722985,0.00021124224844969,0.0018483696739347803
70,700,0.0012631440819602477,7.113509870038115e-05,6.447680912116926e-05,3.517434286857359,0.0001188237647529506,0.001637127425485092
70,800,0.001113861152523804,7.114758293624845e-05,6.408340492406942e-05,4.185910382076397,0.00014522904580916186,0.002178435687137422
70,900,0.0010303314580003603,7.107182131704803e-05,5.958051027365558e-05,4.724472494498892,3.9607921584316864e-05,0.002363272654530902
80,0,2.4386990866318428,0.00021397860106020516,0.00520325003267704,425.5262532506504,0.016674934986997073,0.7292346469293861
80,100,0.005999242771449976,0.00015071027004154303,0.00013675142690711362,0.758201240248041,0.0032346469293858806,0.011763552710541926
80,200,0.003750076049153998,2.608839899664872e-05,9.134807526418835e-05,0.39745229045808717,0.0,0.008014002800560143
80,300,0.0032661507646547217,6.399089302888683e-05,8.900651334396718e-05,0.45476495299059466,0.00019803960792158436,0.005109421884376895
80,400,0.0017399305993379321,6.46744959809098e-05,6.142737717149786e-05,1.4992126425285046,0.00040928185637127435,0.0015711142228445644
80,500,0.0016641803108876432,6.305120425764699e-05,5.810928902869301e-05,2.2002992598519615,0.00023764752950590124,0.0013202640528105596
80,600,0.0014070838453333853,6.216995629415578e-05,5.725118649557607e-05,2.8458555711142073,5.2810562112422483e-05,0.0017691538307661472
80,700,0.0012101400939156337,6.223349213740903e-05,5.66128772826343e-05,3.51557271454289,0.00013202640528105623,0.0016767353470694085
80,800,0.0011177361492556743,6.223792592408017e-05,5.531647021867711e-05,4.1638751750349945,0.00015843168633726748,0.0022444488897779506
80,900,0.0010009295583762506,6.219961523612483e-05,5.360773503807802e-05,4.7737183436687225,5.2810562112422483e-05,0.002323664732946585
90,0,2.5228072068357856,0.000133410214431251,0.005297922246544279,497.7148061612322,0.012661332266453057,0.8119227845569105
90,100,0.006754635848160472,0.00012352711209473455,0.0001227120246988094,1.015824364872972,0.003564712942588524,0.013559111822364188
90,200,0.004441108481187143,2.8282415076574807e-05,8.078169557985013e-05,0.5190882176435221,0.0,0.00930786157231442
90,300,0.003479077582966144,6.458050805235871e-05,7.512716002049338e-05,0.47203400680135615,0.0010298059611922382,0.007301060212042447
90,400,0.0020096013095109336,5.842952877088692e-05,6.025793901697623e-05,1.4022524504900953,0.0004752950590118025,0.002218043608721739
90,500,0.001447885746092186,5.646602740938533e-05,5.333911840918127e-05,2.1490598119623843,0.0003828765753150631,0.0013862772554510871
90,600,0.0014153350730415739,5.6488861588377404e-05,5.106312219740497e-05,2.865012602520501,0.00014522904580916186,0.0015975195039007754
90,700,0.0012231663923204957,5.54071211134044e-05,5.03703738743949e-05,3.5055123024604784,0.00026405281056211246,0.002165233046609316
90,800,0.00109592303134148,5.5280634292387276e-05,4.9141278992778196e-05,4.107051010202034,0.00010562112422484498,0.0022840568113622678
90,900,0.000972829435096822,5.5292042944188324e-05,5.007117793238589e-05,4.7026485297059315,7.921584316863373e-05,0.0022444488897779506
